iter	Passed	Remaining
776	10729	3079
777	10743	3065
778	10757	3051
779	10770	3037
780	10785	3024
781	10799	3010
782	10811	2996
783	10824	2982
784	10838	2968
785	10851	2954
786	10865	2940
787	10880	2927
788	10894	2913
789	10908	2899
790	10922	2886
791	10936	2872
792	10949	2858
793	10964	2844
794	10978	2830
795	10992	2817
796	11004	2802
797	11017	2788
798	11030	2774
799	11044	2761
800	11056	2746
801	11069	2732
802	11082	2718
803	11096	2705
804	11110	2691
805	11124	2677
806	11137	2663
807	11152	2650
808	11166	2636
809	11180	2622
810	11194	2608
811	11207	2594
812	11221	2581
813	11234	2567
814	11247	2553
815	11260	2539
816	11274	2525
817	11289	2511
818	11304	2498
819	11318	2484
820	11333	2471
821	11347	2457
822	11361	2443
823	11374	2429
824	11388	2415
825	11401	2401
826	11415	2387
827	11430	2374
828	11445	2360
829	11459	2347
830	11472	2333
831	11484	2319
832	11499	2305
833	11512	2291
834	11526	2277
835	11540	2263
836	11554	2250
837	11569	2236
838	11585	2223
839	11600	2209
840	11615	2196
841	11630	2182
842	11645	2168
843	11659	2155
844	11674	2141
845	11689	2127
846	11704	2114
847	11719	2100
848	11735	2087
849	11750	2073
850	11765	2060
851	11780	2046
852	11793	2032
853	11808	2018
854	11822	2004
855	11835	1991
856	11849	1977
857	11864	1963
858	11878	1949
859	11893	1936
860	11906	1922
861	11920	1908
862	11934	1894
863	11948	1880
864	11963	1867
865	11978	1853
866	11993	1839
867	12006	1825
868	12020	1811
869	12034	1798
870	12051	1784
871	12066	1771
872	12081	1757
873	12094	1743
874	12108	1729
875	12122	1715
876	12136	1702
877	12151	1688
878	12165	1674
879	12179	1660
880	12194	1647
881	12209	1633
882	12223	1619
883	12238	1606
884	12254	1592
885	12268	1578
886	12283	1564
887	12296	1550
888	12310	1537
889	12324	1523
890	12338	1509
891	12352	1495
892	12365	1481
893	12378	1467
894	12394	1454
895	12408	1440
896	12423	1426
897	12437	1412
898	12451	1398
899	12464	1384
900	12478	1371
901	12492	1357
902	12507	1343
903	12521	1329
904	12536	1315
905	12550	1302
906	12565	1288
907	12589	1275
908	12607	1262
909	12620	1248
910	12635	1234
911	12650	1220
912	12664	1206
913	12678	1192
914	12692	1179
915	12707	1165
916	12721	1151
917	12735	1137
918	12749	1123
919	12765	1110
920	12781	1096
921	12796	1082
922	12810	1068
923	12824	1054
924	12839	1041
925	12853	1027
926	12867	1013
927	12881	999
928	12894	985
929	12909	971
930	12923	957
931	12938	943
932	12953	930
933	12967	916
934	12981	902
935	12996	888
936	13010	874
937	13025	860
938	13039	847
939	13053	833
940	13067	819
941	13082	805
942	13095	791
943	13109	777
944	13123	763
945	13139	750
946	13154	736
947	13168	722
948	13182	708
949	13196	694
950	13209	680
951	13223	666
952	13236	652
953	13250	638
954	13264	625
955	13277	611
956	13291	597
957	13305	583
958	13318	569
959	13331	555
960	13344	541
961	13358	527
962	13373	513
963	13388	499
964	13402	486
965	13416	472
966	13429	458
967	13444	444
968	13457	430
969	13470	416
970	13485	402
971	13497	388
972	13511	374
973	13524	361
974	13538	347
975	13553	333
976	13568	319
977	13584	305
978	13598	291
979	13613	277
980	13626	263
981	13639	250
982	13653	236
983	13668	222
984	13681	208
985	13696	194
986	13709	180
987	13722	166
988	13736	152
989	13749	138
990	13763	124
991	13778	111
992	13792	97
993	13806	83
994	13820	69
995	13833	55
996	13848	41
997	13862	27
998	13875	13
999	13889	0
